brand_name,model_name,starting_price,body_type,engine-cc,mileage
Hyundai,Creta,₹ 9.99 Lakh*,SUV,1582.0,20.5
Hyundai,Elantra,₹ 15.88 Lakh*,Sedans,1999.0,14.62
Hyundai,Tucson,₹ 18.76 Lakh*,SUV,1995.0,16.38
Hyundai,Kona Electric,₹ 23.71 Lakh*,SUV,,0.0
Honda,Amaze,₹ 6.09 Lakh*,Sedans,1498.0,24.7
Honda,Jazz,₹ 7.45 Lakh*,Hatchback,1498.0,27.3
Honda,WRV,₹ 8.08 Lakh*,SUV,1498.0,25.5
Honda,BRV,₹ 9.52 Lakh*,SUV,1498.0,21.9
Honda,City,₹ 9.91 Lakh*,Sedans,1497.0,17.4
Honda,Civic,₹ 17.93 Lakh*,Sedans,1597.0,26.8
Honda,CR-V,₹ 28.27 Lakh*,SUV,1597.0,19.5
Honda,Accord,₹ 43.21 Lakh*,Hybrids,1993.0,23.1
Tata,Tiago,₹ 4.6 Lakh*,Hatchback,1199.0,23.84
Tata,Altroz,₹ 5.29 Lakh*,Hatchback,1497.0,0.0
Tata,Bolt,₹ 5.29 Lakh*,Hatchback,1248.0,22.95
Tata,Tigor,₹ 5.75 Lakh*,Sedans,1199.0,20.3
Tata,Zest,₹ 5.82 Lakh*,Sedans,1248.0,21.58
Tata,Tiago NRG,₹ 5.94 Lakh*,Hatchback,1047.0,27.0
Tata,Tiago JTP,₹ 6.69 Lakh*,Hatchback,1199.0,23.84
Tata,Yodha Pickup,₹ 6.94 Lakh*,Pickup Trucks,2956.0,0.0
Tata,Nexon,₹ 6.94 Lakh*,SUV,1497.0,21.5
Tata,Tigor JTP,₹ 7.59 Lakh*,Sedans,1199.0,20.3
Tata,Tigor EV,₹ 9.17 Lakh*,Sedans,,0.0
Tata,Safari Storme,₹ 11.09 Lakh*,SUV,2179.0,14.1
Tata,Harrier,₹ 13.69 Lakh*,SUV,1956.0,17.0
Tata,Hexa,₹ 13.7 Lakh*,MUV,2179.0,17.6
Tata,Nexon EV,₹ 13.99 Lakh*,SUV,,0.0
Mahindra,KUV100 NXT,₹ 4.88 Lakh*,Hatchback,1198.0,25.32
Mahindra,e2oPlus,₹ 6.07 Lakh*,Hatchback,,110.0
Mahindra,Verito Vibe,₹ 6.58 Lakh*,Hatchback,1461.0,20.8
Mahindra,Bolero Pik-Up,₹ 6.9 Lakh*,Pickup Trucks,2523.0,0.0
Mahindra,Verito,₹ 7.48 Lakh*,Sedans,1461.0,21.03
Mahindra,Bolero Power Plus,₹ 7.61 Lakh*,SUV,1493.0,16.5
Mahindra,XUV300,₹ 8.3 Lakh*,SUV,1497.0,20.0
Mahindra,TUV 300,₹ 8.54 Lakh*,SUV,1493.0,18.49
Mahindra,E Verito,₹ 9.12 Lakh*,Sedans,,0.0
Mahindra,Xylo,₹ 9.17 Lakh*,MUV,2179.0,14.02
Mahindra,Thar,₹ 9.59 Lakh*,SUV,2498.0,16.55
Mahindra,TUV 300 Plus,₹ 9.92 Lakh*,SUV,2179.0,18.49
Mahindra,Marazzo,₹ 9.99 Lakh*,MUV,1497.0,17.3
Mahindra,Scorpio,₹ 10.19 Lakh*,SUV,2179.0,16.36
Mahindra,XUV500,₹ 12.3 Lakh*,SUV,2179.0,15.1
Mahindra,Alturas G4,₹ 27.7 Lakh*,SUV,2157.0,12.05
Renault,KWID,₹ 2.92 Lakh*,Hatchback,999.0,24.04
Renault,Triber,₹ 4.99 Lakh*,MUV,999.0,20.0
Renault,Duster,₹ 7.99 Lakh*,SUV,1461.0,19.87
Renault,Lodgy,₹ 8.63 Lakh*,MUV,1461.0,19.98
Renault,Captur,₹ 9.49 Lakh*,SUV,1461.0,20.37
Ford,Figo,₹ 5.39 Lakh*,Hatchback,1499.0,24.4
Ford,Freestyle,₹ 5.89 Lakh*,Hatchback,1498.0,23.8
Ford,Aspire,₹ 5.99 Lakh*,Sedans,1498.0,24.4
Ford,EcoSport,₹ 8.04 Lakh*,SUV,1498.0,21.7
